name;MonitoringRef
Montry – Condé;STIF:StopPoint:Q:47325:
Montsoult – Maffliers;STIF:StopPoint:Q:43168:
Moret – Veneux-les-Sablons;STIF:StopPoint:Q:47130:
Mormant;STIF:StopPoint:Q:47184:
Mortcerf;STIF:StopPoint:Q:47942:
Moulin-Galant;STIF:StopPoint:Q:45761:
Mouroux;STIF:StopPoint:Q:47943:
Musée d’Orsay;STIF:StopPoint:Q:45705:
Nangis;STIF:StopPoint:Q:47158:
Nanterre Préfecture;STIF:StopPoint:Q:43169:
Nanterre Université;STIF:StopPoint:Q:43170:
Nanterre Ville;STIF:StopPoint:Q:43171:
Nanteuil-le-Haudoin;STIF:StopPoint:Q:411390:
Nanteuil – Saâcy;STIF:StopPoint:Q:47482:
Nation;STIF:StopPoint:Q:473875:
Nemours – Saint-Pierre;STIF:StopPoint:Q:43245:
Neuilly Porte Maillot;STIF:StopPoint:Q:415093:
Neuilly-Plaisance;STIF:StopPoint:Q:43172:
Neuville Université;STIF:StopPoint:Q:47879:
Nézel – Aulnay;STIF:StopPoint:Q:47944:
Nogent-L’Artaud – Charly;STIF:StopPoint:Q:411384:
Nogent-sur-Marne;STIF:StopPoint:Q:47886:
Nogent – Le Perreux;STIF:StopPoint:Q:46552:
Nointel – Mours;STIF:StopPoint:Q:47530:
Noisiel;STIF:StopPoint:Q:44199:
Noisy-le-Grand Mont d’Est;STIF:StopPoint:Q:474082:
Noisy-le-Sec;STIF:StopPoint:Q:44201:
Noisy – Champs;STIF:StopPoint:Q:58937:
Orangis Bois de l’Épine;STIF:StopPoint:Q:48489:
Orgerus – Béhoust;STIF:StopPoint:Q:47921:
Orly Ville;STIF:StopPoint:Q:46299:
Ormoy-Villers;STIF:StopPoint:Q:411387:
Orry-la-Ville – Coye;STIF:StopPoint:Q:411421:
Orsay-Ville;STIF:StopPoint:Q:43086:
Osny;STIF:StopPoint:Q:51494:
Ozoir-la-Ferrière;STIF:StopPoint:Q:462901:
Palaiseau;STIF:StopPoint:Q:47009:
Palaiseau – Villebon;STIF:StopPoint:Q:43175:
Pantin;STIF:StopPoint:Q:43176:
Parc de Sceaux;STIF:StopPoint:Q:43177:
Parc des Expositions;STIF:StopPoint:Q:47878:
Paris Austerlitz;STIF:StopPoint:Q:43072:
Paris Est;STIF:StopPoint:Q:470519:
Paris Gare de Lyon;STIF:StopPoint:Q:470195:
Paris Montparnasse;STIF:StopPoint:Q:43238:
Paris Nord;STIF:StopPoint:Q:462394:
Paris Saint-Lazare;STIF:StopPoint:Q:58566:
Pereire Levallois;STIF:StopPoint:Q:44314:
Persan – Beaumont;STIF:StopPoint:Q:43178:
Petit Jouy – Les Loges;STIF:StopPoint:Q:57674:
Pierrefitte – Stains;STIF:StopPoint:Q:43179:
Pierrelaye;STIF:StopPoint:Q:43180:
Plaisir – Grignon;STIF:StopPoint:Q:47885:
Plaisir – Les Clayes;STIF:StopPoint:Q:43181:
Poissy;STIF:StopPoint:Q:47874:
Pont Cardinet;STIF:StopPoint:Q:45493:
Pont de l’Alma;STIF:StopPoint:Q:415091:
Pont de Rungis Aéroport d’Orly;STIF:StopPoint:Q:47907:
Pont du Garigliano;STIF:StopPoint:Q:58798:
Pont-Petit;STIF:StopPoint:Q:47595:
Pont-sur-Yonne;STIF:StopPoint:Q:411458:
Ponthierry – Pringy;STIF:StopPoint:Q:45812:
Pontoise;STIF:StopPoint:Q:44411:
Porchefontaine;STIF:StopPoint:Q:43183:
Port Royal;STIF:StopPoint:Q:44500:
Porte de Clichy;STIF:StopPoint:Q:44514:
Précy-sur-Oise;STIF:StopPoint:Q:411326:
Presles – Courcelles;STIF:StopPoint:Q:47946:
Provins;STIF:StopPoint:Q:47181:
Puteaux;STIF:StopPoint:Q:43184:
Rambouillet;STIF:StopPoint:Q:427870:
Ris Orangis;STIF:StopPoint:Q:47948:
Robinson;STIF:StopPoint:Q:43186:
Roissy-en-Brie;STIF:StopPoint:Q:46568:
Rosa Parks;STIF:StopPoint:Q:58498:
Rosny Bois Perrier;STIF:StopPoint:Q:42356:
Rosny-sous-Bois;STIF:StopPoint:Q:47877:
Rosny-sur-Seine;STIF:StopPoint:Q:479059:
Rueil-Malmaison;STIF:StopPoint:Q:58875:
Rungis la Fraternelle;STIF:StopPoint:Q:44787:
Saint-Chéron;STIF:StopPoint:Q:47952:
Saint-Cloud;STIF:StopPoint:Q:43196:
Saint-Colombe Septveilles;STIF:StopPoint:Q:47171:
Saint-Cyr;STIF:StopPoint:Q:46990:
Saint-Denis;STIF:StopPoint:Q:412743:
Saint-Fargeau;STIF:StopPoint:Q:45814:
Saint-Germain-en-Laye;STIF:StopPoint:Q:43198:
Saint-Gratien;STIF:StopPoint:Q:43201:
Saint-Julien-du-Sault;STIF:StopPoint:Q:411473:
Saint-Leu-d’Esserent;STIF:StopPoint:Q:411329:
Saint-Leu-la-Forêt;STIF:StopPoint:Q:48964:
Saint-Mammès;STIF:StopPoint:Q:47953:
Saint-Martin d’Étampes;STIF:StopPoint:Q:47115:
Saint-Maur – Créteil;STIF:StopPoint:Q:44801:
Saint-Michel-sur-Orge;STIF:StopPoint:Q:43202:
Saint-Michel – Notre-Dame;STIF:StopPoint:Q:44877:
Saint-Nom-la-Bretèche Forêt de Marly;STIF:StopPoint:Q:47954:
Saint-Ouen;STIF:StopPoint:Q:43203:
Saint-Ouen-l’Aumône;STIF:StopPoint:Q:47599:
Saint-Ouen-l’Aumône Liesse;STIF:StopPoint:Q:43150:
Saint-Ouen-l’Aumône Quartier de l’Église;STIF:StopPoint:Q:47955:
Saint-Piat;STIF:StopPoint:Q:411501:
Saint-Quentin en Yvelines;STIF:StopPoint:Q:461504:
Saint-Rémy-lès-Chevreuse;STIF:StopPoint:Q:47889:
Sainte-Geneviève-des-Bois;STIF:StopPoint:Q:43188:
Sannois;STIF:StopPoint:Q:43189:
Santeuil – Le Perchay;STIF:StopPoint:Q:47949:
Sarcelles Saint-Brice;STIF:StopPoint:Q:43190:
Sartrouville;STIF:StopPoint:Q:43191:
Savigny-le-Temple – Nandy;STIF:StopPoint:Q:47665:
Savigny-sur-Orge;STIF:StopPoint:Q:43192:
Sceaux;STIF:StopPoint:Q:59206:
Sens;STIF:StopPoint:Q:411452:
Sermaise;STIF:StopPoint:Q:47950:
Seugy;STIF:StopPoint:Q:47951:
Sevran Beaudottes;STIF:StopPoint:Q:43193:
Sevran – Livry;STIF:StopPoint:Q:43194:
Sèvres Rive Gauche;STIF:StopPoint:Q:43195:
Sèvres – Ville-d’Avray;STIF:StopPoint:Q:47767:
Souppes – Château-Landon;STIF:StopPoint:Q:47118:
Stade de France Saint-Denis;STIF:StopPoint:Q:43204:
Sucy – Bonneuil;STIF:StopPoint:Q:58792:
Suresnes Mont Valérien;STIF:StopPoint:Q:43205:
Survilliers – Fosses;STIF:StopPoint:Q:47958:
Tacoignières – Richebourg;STIF:StopPoint:Q:47959:
Taverny;STIF:StopPoint:Q:43206:
Thieux – Nantouillet;STIF:StopPoint:Q:47960:
Thomery;STIF:StopPoint:Q:47961:
Thun le Paradis;STIF:StopPoint:Q:46902:
Torcy;STIF:StopPoint:Q:43207:
Tournan;STIF:StopPoint:Q:43208:
Trappes;STIF:StopPoint:Q:43209:
Trie-Château;STIF:StopPoint:Q:411338:
Triel-sur-Seine;STIF:StopPoint:Q:46926:
Trilport;STIF:StopPoint:Q:47962:
Us;STIF:StopPoint:Q:47922:
Vaires – Torcy;STIF:StopPoint:Q:43211:
Val d’Argenteuil;STIF:StopPoint:Q:43212:
Val de Fontenay;STIF:StopPoint:Q:47900:
Val d’Europe;STIF:StopPoint:Q:43213:
Valmondois;STIF:StopPoint:Q:47588:
Vanves – Malakoff;STIF:StopPoint:Q:43214:
Vauboyen;STIF:StopPoint:Q:43215:
Vaucelles;STIF:StopPoint:Q:47963:
Vaucresson;STIF:StopPoint:Q:43216:
Vaux-sur-Seine;STIF:StopPoint:Q:43217:
Verneuil-l’Étang;STIF:StopPoint:Q:47187:
Vernon – Giverny;STIF:StopPoint:Q:59038:
Vernou-sur-Seine;STIF:StopPoint:Q:43218:
Vernouillet – Verneuil;STIF:StopPoint:Q:47964:
Versailles Chantiers;STIF:StopPoint:Q:43219:
Versailles Château Rive Gauche;STIF:StopPoint:Q:43220:
Versailles Rive Droite;STIF:StopPoint:Q:44602:
Vert Galant;STIF:StopPoint:Q:46222:
Viarmes;STIF:StopPoint:Q:47525:
Vigneux-sur-Seine;STIF:StopPoint:Q:45735:
Villabé;STIF:StopPoint:Q:47904:
Villaines;STIF:StopPoint:Q:47522:
Villeneuve Saint-Georges;STIF:StopPoint:Q:45067:
Villeneuve Triage;STIF:StopPoint:Q:46304:
Villeneuve-la-Guyard;STIF:StopPoint:Q:411464:
Villeneuve-le-Roi;STIF:StopPoint:Q:46307:
Villeneuve-sur-Yonne;STIF:StopPoint:Q:411476:
Villennes-sur-Seine;STIF:StopPoint:Q:47966:
Villeparisis – Mitry-le-Neuf;STIF:StopPoint:Q:46725:
Villepinte;STIF:StopPoint:Q:58793:
Villepreux – Les Clayes;STIF:StopPoint:Q:43221:
Villiers le Bel – Gonesse – Arnouville;STIF:StopPoint:Q:43222:
Villiers-Montbarbin;STIF:StopPoint:Q:58581:
Villiers-sur-Marne – Le Plessis-Trévise;STIF:StopPoint:Q:43223:
Villiers – Neauphle – Pontchartrain;STIF:StopPoint:Q:46847:
Vincennes;STIF:StopPoint:Q:43224:
Viroflay Rive Droite;STIF:StopPoint:Q:46689:
Viroflay Rive Gauche;STIF:StopPoint:Q:462388:
Viry-Châtillon;STIF:StopPoint:Q:43225:
Vitry-sur-Seine;STIF:StopPoint:Q:46375:
Vosves;STIF:StopPoint:Q:47967:
Vulaines-sur-Seine – Samoreau;STIF:StopPoint:Q:47136:
Yerres;STIF:StopPoint:Q:43226:
