LineRef;LineName
STIF:Line::C01377:;7
STIF:Line::C01088:;47
STIF:Line::C00674:;DM11G
STIF:Line::C00276:;23
STIF:Line::C00279:;27
STIF:Line::C00241:;R106
STIF:Line::C00202:;21
STIF:Line::C00201:;19
STIF:Line::C02173:;CSP
STIF:Line::C01090:;52
STIF:Line::C02094:;02B
STIF:Line::C02317:;T9
STIF:Line::C01735:;DIM
STIF:Line::C00697:;6206
STIF:Line::C01528:;415
STIF:Line::C00836:;50
STIF:Line::C00841:;2
STIF:Line::C01566:;EXPRESS 91-05
STIF:Line::C01294:;341
STIF:Line::C01123:;92
STIF:Line::C01222:;207
STIF:Line::C00528:;39-103
STIF:Line::C01256:;275
STIF:Line::C01840:;U
STIF:Line::C00925:;34S1
STIF:Line::C02195:;29B
STIF:Line::C01268:;294
STIF:Line::C02368:;TER Centre - Val de Loire
STIF:Line::C01745:;TER Bourgogne - Franche-Comté
STIF:Line::C01571:;Express 91-10
STIF:Line::C01626:;413
STIF:Line::C01616:;401
STIF:Line::C00126:;172
STIF:Line::C01659:;A
STIF:Line::C00788:;6
STIF:Line::C02168:;14.1
STIF:Line::C01830:;A
STIF:Line::C02291:;TàD 43
STIF:Line::C01417:;N15
STIF:Line::C00171:;11
STIF:Line::C00510:;3928F
STIF:Line::C00793:;1
STIF:Line::C01985:;40
STIF:Line::C00060:;13
STIF:Line::C01574:;602
STIF:Line::C00042:;6133
STIF:Line::C01379:;9
STIF:Line::C01172:;147
STIF:Line::C00092:;4305
STIF:Line::C02125:;35B
STIF:Line::C00987:;7002
STIF:Line::C01645:;N139
STIF:Line::C00592:;I
STIF:Line::C01796:;2B
STIF:Line::C00986:;7001 Scolaire
STIF:Line::C01330:;La Traverse Bièvre Montsouris
STIF:Line::C02413:;95-50
STIF:Line::C00706:;6172
STIF:Line::C00038:;6132
STIF:Line::C01198:;177
STIF:Line::C02136:;7
STIF:Line::C00675:;DM11A
STIF:Line::C01251:;268
STIF:Line::C00676:;DM12
STIF:Line::C01375:;5
STIF:Line::C01199:;178
STIF:Line::C02568:;6
STIF:Line::C02554:;58
STIF:Line::C01418:;N14
STIF:Line::C01798:;2C
STIF:Line::C00505:;3928A
STIF:Line::C00531:;3930A
STIF:Line::C00652:;Express 80
STIF:Line::C02617:;2
STIF:Line::C01372:;2
STIF:Line::C00342:;412
STIF:Line::C01626:;413
STIF:Line::C01618:;403
STIF:Line::C00731:;9
STIF:Line::C00765:;36
STIF:Line::C00007:;282
STIF:Line::C01521:;401
STIF:Line::C00537:;450
STIF:Line::C00125:;171
STIF:Line::C01049:;29A
STIF:Line::C01589:;623
STIF:Line::C00213:;39
STIF:Line::C00387:;312
STIF:Line::C01984:;38
STIF:Line::C00054:;2
STIF:Line::C01602:;E
STIF:Line::C02144:;T
STIF:Line::C01841:;P
STIF:Line::C00259:;715
STIF:Line::C02298:;27
STIF:Line::C01097:;61
STIF:Line::C01431:;Filéo Sarcelles (sur réservation)
STIF:Line::C00916:;21
STIF:Line::C01591:;637
STIF:Line::C01523:;402
STIF:Line::C01243:;251
STIF:Line::C01668:;457
STIF:Line::C01371:;1
STIF:Line::C00867:;23
STIF:Line::C02165:;11.5
STIF:Line::C02619:;3s
STIF:Line::C00392:;305
STIF:Line::C01188:;166
STIF:Line::C01211:;190
STIF:Line::C00709:;6285
STIF:Line::C01934:;6284
STIF:Line::C00255:;714
STIF:Line::C00518:;39-303
STIF:Line::C01589:;623
STIF:Line::C01970:;13C
STIF:Line::C00092:;4305
STIF:Line::C00571:;42
STIF:Line::C02170:;9
STIF:Line::C00165:;4
STIF:Line::C00489:;39-003
STIF:Line::C00601:;E2
STIF:Line::C01441:;I
STIF:Line::C01443:;Emplet
STIF:Line::C01739:;J
STIF:Line::C01167:;141
STIF:Line::C00265:;9502
STIF:Line::C00208:;31
STIF:Line::C00062:;Express 60
STIF:Line::C00757:;88B
STIF:Line::C01696:;248
STIF:Line::C02160:;32S
STIF:Line::C00191:;11
STIF:Line::C02196:;29M
STIF:Line::C00940:;54B
STIF:Line::C01321:;396
STIF:Line::C00303:;18
STIF:Line::C02121:;30A
STIF:Line::C00875:;3604
STIF:Line::C00504:;3927
STIF:Line::C00522:;3935A
STIF:Line::C00771:;44
STIF:Line::C00768:;40
STIF:Line::C00762:;30
STIF:Line::C01407:;N22
STIF:Line::C01088:;47
STIF:Line::C01794:;T6
STIF:Line::C01307:;367
STIF:Line::C01528:;415
STIF:Line::C00414:;Q
STIF:Line::C00423:;P
STIF:Line::C01987:;45
STIF:Line::C01981:;22
STIF:Line::C01405:;N45
STIF:Line::C01171:;146
STIF:Line::C01294:;341
STIF:Line::C01824:;D
STIF:Line::C01184:;162
STIF:Line::C01412:;N35
STIF:Line::C02160:;32S
STIF:Line::C00923:;33
STIF:Line::C01345:;559A
STIF:Line::C02457:;Ligne Bleue
STIF:Line::C01410:;N71
STIF:Line::C02604:;R9
STIF:Line::C00555:;4 (Future 434)
STIF:Line::C01823:;Fileo Saint-Pathus (sur réservation)
STIF:Line::C01658:;415
STIF:Line::C01991:;61
STIF:Line::C01522:;441
STIF:Line::C01185:;163
STIF:Line::C00305:;1533
STIF:Line::C00923:;33
STIF:Line::C00620:;12
STIF:Line::C01794:;T6
STIF:Line::C00476:;95-20
STIF:Line::C01603:;I
STIF:Line::C01377:;7
STIF:Line::C01720:;3907D
STIF:Line::C01721:;3907
STIF:Line::C02449:;41
STIF:Line::C00983:;5
STIF:Line::C00528:;39-103
STIF:Line::C00527:;6183
STIF:Line::C02554:;58
STIF:Line::C01721:;3907
STIF:Line::C00170:;10
STIF:Line::C01411:;N41
STIF:Line::C01405:;N45
STIF:Line::C01076:;26
STIF:Line::C01557:;95-44
STIF:Line::C01040:;10
STIF:Line::C02196:;29M
STIF:Line::C01521:;401
STIF:Line::C01869:;44
STIF:Line::C00413:;17
STIF:Line::C02480:;41
STIF:Line::C01075:;24
STIF:Line::C01077:;27
STIF:Line::C01016:;4344
STIF:Line::C02607:;4347
STIF:Line::C01873:;6251
STIF:Line::C01874:;FA
STIF:Line::C01868:;6240
STIF:Line::C02184:;6254
STIF:Line::C00426:;Express 78
STIF:Line::C00411:;15
STIF:Line::C01871:;50
STIF:Line::C00255:;714
STIF:Line::C00248:;704
STIF:Line::C00495:;11
STIF:Line::C01148:;119
STIF:Line::C01247:;256
STIF:Line::C01818:;208B
