name;MonitoringRef
Alfred Capus;STIF:StopPoint:Q:28005:
Alfred Dreyfus;STIF:StopPoint:Q:415393:
Alfred Gros;STIF:StopPoint:Q:2539:
Alfred Lasson;STIF:StopPoint:Q:32768:
Alfred Nobel;STIF:StopPoint:Q:486042:
Alibert;STIF:StopPoint:Q:24847:
Aligre;STIF:StopPoint:Q:411702:
Alix;STIF:StopPoint:Q:18912:
Alizes;STIF:StopPoint:Q:33467:
Allainville aux Bois;STIF:StopPoint:Q:31903:
Allary;STIF:StopPoint:Q:17082:
Allasseur;STIF:StopPoint:Q:15774:
Allee Clemenceau;STIF:StopPoint:Q:3716:
Allee d'Aise;STIF:StopPoint:Q:18573:
Allee de la Briade;STIF:StopPoint:Q:463375:
Allee de la Gare;STIF:StopPoint:Q:32271:
Allee de la Garonne;STIF:StopPoint:Q:4362:
Allee de la Source;STIF:StopPoint:Q:38426:
Allee de la Tour;STIF:StopPoint:Q:37152:
Allee de la Tour Rendez Vous;STIF:StopPoint:Q:41027:
Allee de la Tour-Rendez-vous;STIF:StopPoint:Q:472172:
Allee de l'Esperance;STIF:StopPoint:Q:478424:
Allee de l'Essonne;STIF:StopPoint:Q:477395:
Allee de l'Orge;STIF:StopPoint:Q:21597:
Allee de Pinceloup;STIF:StopPoint:Q:32516:
Allee des Bois;STIF:StopPoint:Q:416444:
Allee des Bosquets;STIF:StopPoint:Q:19428:
Allee des Champs;STIF:StopPoint:Q:35638:
Allee des Clairieres;STIF:StopPoint:Q:477128:
Allee des Epines;STIF:StopPoint:Q:34558:
Allee des Machines;STIF:StopPoint:Q:477606:
Allee des Moulineaux;STIF:StopPoint:Q:23254:
Allee des Sources;STIF:StopPoint:Q:422337:
Allee des Sports;STIF:StopPoint:Q:13335:
Allee des Yvelines;STIF:StopPoint:Q:20585:
Allee du Bois;STIF:StopPoint:Q:419609:
Allee du Chateau;STIF:StopPoint:Q:15257:
Allee du Coteau;STIF:StopPoint:Q:420649:
Allee du Gue;STIF:StopPoint:Q:35679:
Allee du Jura;STIF:StopPoint:Q:19461:
Allee du Plateau;STIF:StopPoint:Q:19727:
Allee du Sous-Bois;STIF:StopPoint:Q:8770:
Allee du Tillet;STIF:StopPoint:Q:32435:
Allee Marie;STIF:StopPoint:Q:27231:
Allee Noire;STIF:StopPoint:Q:12750:
Allee Royale;STIF:StopPoint:Q:480934:
Allee Verte;STIF:StopPoint:Q:17182:
Allees du Roy;STIF:StopPoint:Q:477187:
Alleray;STIF:StopPoint:Q:27490:
Alleray - La Quintinie;STIF:StopPoint:Q:29960:
Alliance;STIF:StopPoint:Q:14456:
Alliance Bussys;STIF:StopPoint:Q:14460:
Allies - Berteaux;STIF:StopPoint:Q:485912:
Allies Gallieni;STIF:StopPoint:Q:427122:
